subid,site,cond,order,age,sex,lang,practice1_nice,practice1_mean,practice2_nice,practice2_mean,practice3_truth,practice3_truth,trial1_comp_like,trial1_comp_tell,trial1_SWhy,trial1_LFeel,trial1_nice,trial1_mean,trial1_truth,trial2_comp_like,trial2_comp_tell,trial2_SWhy,trial2_LFeel,trial2_nice,trial2_mean,trial2_truth,trial1_2_play,trial1_2_playWhy,trial1_2_eval,trial1_2_evalWhy,trial1_2_selfEval,trial1_2_selfEvalWhy,trial3_comp_like,trial3_comp_tell,trial3_SWhy,trial3_LFeel,trial3_nice,trial3_mean,trial3_truth,trial4_comp_like,trial4_comp_tell,trial4_SWhy,trial4_LFeel,trial4_nice,trial4_mean,trial4_truth,trial3_4_play,trial3_4_playWhy,trial3_4_eval,trial3_4_evalWhy,trial3_4_selfEval,trial3_4_selfEvalWhy,trial1_2_playCorrect,trial1_2_evalCorrect,trial1_2_selfEvalCorrect,trial3_4_playCorrect,trial3_4_evalCorrect,trial3_4_selfEvalCorrect
160107-06_1A23,india,exp,1,6,M,hindi,y,y,y,y,y,y,y,y,didn't like,bad,y,n,y,y,y,didn't like,bad,y,n,y,polite,good,polite,good,polite,good,y,y,didn't like,bad,y,n,y,y,y,didn't like,bad,y,n,y,polite,good,polite,good,polite,good,y,y,n,y,y,n
160107-07_1A18,india,cont,1,6,M,hindi,y,y,y,y,y,y,y,y,NA,NA,y,n,y,y,y,NA,NA,y,n,y,polite,NA,polite,NA,polite,NA,y,y,NA,NA,y,n,y,y,y,NA,NA,y,n,y,honest,NA,polite,NA,honest,NA,n,n,n,y,n,y
160107-08_1A56,india,cont,2,6,F,hindi,y,y,y,y,y,y,y,y,NA,NA,y,n,y,y,y,NA,NA,n,y,n,polite,good,honest,NA,NA,NA,y,y,NA,NA,n,y,n,y,y,NA,NA,y,n,y,honest,good,honest,NA,polite,NA,n,y,NA,y,y,n
160107-11_1A44,india,cont,2,6,M,gujarati,y,y,y,y,y,y,y,y,NA,NA,y,n,y,y,y,NA,NA,n,y,n,honest,honest,honest,good,honest,honest,y,y,NA,NA,n,y,n,y,y,NA,NA,y,n,y,honest,honest,honest,good,honest,honest,y,y,y,y,y,y
160107-12_1A46,india,cont,1,6,M,gujarati,y,y,y,y,y,y,y,y,NA,NA,n,y,y,y,y,NA,NA,n,y,n,honest,NA,honest,NA,NA,NA,y,y,NA,NA,n,y,n,y,y,NA,NA,y,n,y,honest,honest,honest,NA,honest,NA,y,y,NA,y,y,y
160107-13_1A58,india,cont,1,6,F,gujarati,y,y,y,y,y,y,y,y,NA,NA,n,n,y,y,y,NA,NA,y,n,n,honest,NA,polite,ate,polite,tasted,y,y,NA,NA,n,n,n,y,y,NA,NA,y,n,y,polite,liked,honest,didn't like,honest,didn't like,y,n,n,n,y,y
160108-01_2A49,india,exp,1,6,F,hindi,y,y,y,y,y,y,y,y,bad,bad,n,n,y,y,y,won't feel bad,good,y,n,n,honest,NA,honest,said good,honest,honest,y,y,won't feel bad,good,n,y,n,y,y,didn't like,bad,n,y,y,polite,made not sad,polite,said pretty,polite,doesn't make sad,n,n,y,y,y,n
160108-02_2A17,india,cont,2,8,M,hindi,y,y,y,y,y,y,y,y,NA,NA,y,n,y,y,y,NA,NA,y,n,y,honest,honest,honest,honest,honest,good,y,y,NA,NA,n,y,n,y,y,NA,NA,y,n,y,honest,honest,honest,honest,honest,good,y,y,y,y,y,y
160108-03_2A40,india,exp,2,6,M,hindi,y,y,y,y,y,y,y,y,NA,NA,y,n,y,y,y,NA,NA,y,n,n,polite ,NA,polite ,NA,polite ,NA,y,y,NA,NA,y,n,n,y,y,NA,bad,y,n,y,polite,NA,polite,NA,polite,NA,NA,NA,NA,y,y,n
160108-04_2A57,india,exp,2,6,F,hindi,y,y,y,y,y,y,y,y,bad,bad,y,n,y,y,y,can ask someone else,bad,n,y,n,honest,didn't like,honest,good,honest,liked,y,y,would be upset,nice,n,y,n,y,y,didn't like,bad,y,n,y,honest,honest,polite,bad,polite,lying,n,n,y,n,y,n
160108-05_2A65,india,cont,2,8,F,gujarati,y,y,y,y,y,y,y,y,NA,NA,y,n,y,y,y,NA,NA,n,y,n,honest,honest,honest,will say bad,honest,NA,y,y,NA,NA,n,n,n,y,y,NA,NA,y,n,y,honest,honest,polite,lying,honest,honest,y,y,y,y,n,y
160108-06_2A62,india,cont,2,6,F,hindi,y,y,y,y,y,y,y,y,NA,NA,y,n,y,y,y,NA,NA,n,y,n,honest,honest,honest,honest,honest,honest,y,y,NA,NA,n,y,n,y,y,NA,NA,y,n,y,honest,honest,honest,honest,honest,honest,y,y,y,y,y,y
160108-07_2A8,india,cont,2,6,M,gujarati,y,y,y,y,y,y,y,y,NA,NA,y,n,y,y,y,NA,NA,n,y,n,honest,good,honest,good,honest,good,y,y,NA,NA,n,y,n,y,y,NA,NA,y,n,y,honest,good,honest,good,honest,good,y,y,y,y,y,y
160108-08_2A20,india,cont,1,6,,gujarati,y,y,y,y,y,y,y,y,NA,NA,y,n,y,y,y,NA,NA,n,y,n,honest,honest,polite,lying,NA,NA,y,y,NA,NA,n,y,n,y,y,NA,NA,y,n,y,honest,honest,polite,lying,honest,honest,y,n,NA,y,n,y
160108-09_2A60,india,cont,1,6,,hindi,y,y,y,y,y,y,y,y,NA,NA,y,n,y,y,y,NA,NA,n,y,n,honest,good,honest,good,honest,good,y,y,NA,NA,n,y,n,y,y,NA,NA,y,n,y,honest,good,honest,good,honest,good,y,y,y,y,y,y
160108-11_2A16,india,exp,2,6,,gujarati,y,y,y,y,y,y,y,y,didn't like,bad,y,n,y,y,y,feel good,happy,n,y,n,polite,good,honest,bad,honest,good,y,y,feel good,good,n,y,n,y,y,feel bad,NA,y,n,y,honest,good,polite,askedother,polite,good,y,n,y,n,y,n
160108-12_2A24,india,exp,1,6,M,gujarati,y,y,y,y,y,y,y,y,bad,bad,y,n,y,y,y,didn't like,bad,y,n,y,polite,NA,polite,lying,polite,NA,y,y,won't know,good,n,y,n,y,y,bad,bad,y,n,y,honest,good,polite,lying that good,honest,said bad,y,y,n,n,y,y
160108-13_2A55,india,exp,1,8,F,hindi,y,y,y,y,y,y,y,y,bad,sad,y,n,y,y,y,feel bad if truth,happy,n,n,n,honest,honest,polite,liked,honest,honest,y,y,won't feel bad,happy,n,y,n,y,y,bad,sad,y,n,y,honest,honest,polite,lying to make feel good,honest,honest,n,y,y,n,y,y
