"subid","site","age","cond","q","answer","order","polite","q_kind"
"41316_02","us","6","cont","trial1_2_play","honest","1_2","NA","play"
"41516_01","us","8","cont","trial1_2_play","honest","1_2","NA","play"
"41516_02","us","8","exp","trial1_2_play","honest","1_2","NA","play"
"41516_03","us","6","exp","trial1_2_play","honest","1_2","NA","play"
"41516_04","us","6","cont","trial1_2_play","honest","1_2","NA","play"
"41516_05","us","6","cont","trial1_2_play","honest","1_2","NA","play"
"41516_06","us","6","cont","trial1_2_play","honest","1_2","NA","play"
"42016_01","us","6","cont","trial1_2_play",NA,"1_2","NA","play"
"42016_02","us","8","exp","trial1_2_play","honest","1_2","NA","play"
"42216_01","us","6","exp","trial1_2_play","honest","1_2","NA","play"
"42216_02","us","8","cont","trial1_2_play","honest","1_2","NA","play"
"42216_03","us","6","exp","trial1_2_play","honest","1_2","NA","play"
"42716_01","us","6","cont","trial1_2_play","honest","1_2","NA","play"
"42716_02","us","6","cont","trial1_2_play","honest","1_2","NA","play"
"42716_03","us","6","cont","trial1_2_play","honest","1_2","NA","play"
"42716_04","us","6","cont","trial1_2_play","honest","1_2","NA","play"
"42816_01","us","6","cont","trial1_2_play","honest","1_2","NA","play"
"42816_02","us","8","cont","trial1_2_play","honest","1_2","NA","play"
"51416_01","us","4","exp","trial1_2_play","polite","1_2","NA","play"
"51416_02","us","8","cont","trial1_2_play","honest","1_2","NA","play"
"51416_03","us","6","exp","trial1_2_play","honest","1_2","NA","play"
"51816_01","us","6","exp","trial1_2_play","honest","1_2","NA","play"
"51816_02","us","4","exp","trial1_2_play","honest","1_2","NA","play"
"51816_03","us","8","exp","trial1_2_play","honest","1_2","NA","play"
"51816_04","us","8","exp","trial1_2_play","polite","1_2","NA","play"
"51816_05","us","6","exp","trial1_2_play","polite","1_2","NA","play"
"52216_01","us","8","cont","trial1_2_play","honest","1_2","NA","play"
"52216_02","us","6","cont","trial1_2_play","honest","1_2","NA","play"
"52616_01","us","8","cont","trial1_2_play","polite","1_2","NA","play"
"52616_02","us","8","cont","trial1_2_play","polite","1_2","NA","play"
"53016_01","us","8","cont","trial1_2_play","honest","1_2","NA","play"
"5316_01","us","6","cont","trial1_2_play","honest","1_2","NA","play"
"5416_01","us","8","cont","trial1_2_play","honest","1_2","NA","play"
"5416_02","us","6","cont","trial1_2_play","honest","1_2","NA","play"
"5416_03","us","8","exp","trial1_2_play","honest","1_2","NA","play"
"5616_01","us","6","cont","trial1_2_play","honest","1_2","NA","play"
"5816_01","us","8","cont","trial1_2_play","honest","1_2","NA","play"
"5816_02","us","6","exp","trial1_2_play","polite","1_2","NA","play"
"5816_03","us","6","cont","trial1_2_play","honest","1_2","NA","play"
"5816_04","us","6","cont","trial1_2_play",NA,"1_2","NA","play"
"5816_05","us","8","exp","trial1_2_play","honest","1_2","NA","play"
"5816_06","us","6","cont","trial1_2_play","honest","1_2","NA","play"
"5816_07","us","6","exp","trial1_2_play",NA,"1_2","NA","play"
"5816_08","us","6","exp","trial1_2_play","honest","1_2","NA","play"
"5816_09","us","6","exp","trial1_2_play","honest","1_2","NA","play"
"61216_01","us","8","cont","trial1_2_play","honest","1_2","NA","play"
"61216_02","us","8","cont","trial1_2_play","polite","1_2","NA","play"
"61916_01","us","8","cont","trial1_2_play","honest","1_2","NA","play"
"61916_02","us","8","cont","trial1_2_play","polite","1_2","NA","play"
"6816_01","us","8","cont","trial1_2_play","honest","1_2","NA","play"
"6816_02","us","8","cont","trial1_2_play","honest","1_2","NA","play"
"160105-01_3A1","india","8","exp","trial3_4_play","honest","3_4","NA","play"
"160105-02_3A56","india","8","cont","trial3_4_play","honest","3_4","NA","play"
"160105-03_3A44","india","8","exp","trial3_4_play","honest","3_4","NA","play"
"160105-04_3A34","india","8","cont","trial3_4_play","honest","3_4","NA","play"
"160105-08_1A11","india","6","exp","trial3_4_play","honest","3_4","NA","play"
"160105-09_1A12","india","6","cont","trial3_4_play","honest","3_4","NA","play"
"160106-01_3A40","india","8","exp","trial3_4_play","honest","3_4","NA","play"
"160106-02_3A48","india","8","exp","trial3_4_play","polite","3_4","NA","play"
"160106-03_3A14","india","8","exp","trial3_4_play","polite","3_4","NA","play"
"160106-04_3A4","india","8","exp","trial3_4_play","polite","3_4","NA","play"
"160106-05_3A20","india","8","exp","trial3_4_play","polite","3_4","NA","play"
